date_key,datetime,year,month,day,hour,time_of_day,quarter,week,day_of_week,season,is_weekend_or_holiday
270,2021-01-12 05:00:00,2021,1,12,5,Morning,1,2,1,Winter,False
271,2021-01-12 06:00:00,2021,1,12,6,Morning,1,2,1,Winter,False
272,2021-01-12 07:00:00,2021,1,12,7,Morning,1,2,1,Winter,False
273,2021-01-12 08:00:00,2021,1,12,8,Morning,1,2,1,Winter,False
274,2021-01-12 09:00:00,2021,1,12,9,Morning,1,2,1,Winter,False
275,2021-01-12 10:00:00,2021,1,12,10,Morning,1,2,1,Winter,False
276,2021-01-12 11:00:00,2021,1,12,11,Morning,1,2,1,Winter,False
277,2021-01-12 12:00:00,2021,1,12,12,Afternoon,1,2,1,Winter,False
278,2021-01-12 13:00:00,2021,1,12,13,Afternoon,1,2,1,Winter,False
279,2021-01-12 14:00:00,2021,1,12,14,Afternoon,1,2,1,Winter,False
280,2021-01-12 15:00:00,2021,1,12,15,Afternoon,1,2,1,Winter,False
281,2021-01-12 16:00:00,2021,1,12,16,Afternoon,1,2,1,Winter,False
282,2021-01-12 17:00:00,2021,1,12,17,Afternoon,1,2,1,Winter,False
283,2021-01-12 18:00:00,2021,1,12,18,Evening,1,2,1,Winter,False
284,2021-01-12 19:00:00,2021,1,12,19,Evening,1,2,1,Winter,False
285,2021-01-12 20:00:00,2021,1,12,20,Evening,1,2,1,Winter,False
286,2021-01-12 21:00:00,2021,1,12,21,Night,1,2,1,Winter,False
287,2021-01-12 22:00:00,2021,1,12,22,Night,1,2,1,Winter,False
288,2021-01-12 23:00:00,2021,1,12,23,Night,1,2,1,Winter,False
289,2021-01-13 00:00:00,2021,1,13,0,Night,1,2,2,Winter,False
290,2021-01-13 01:00:00,2021,1,13,1,Night,1,2,2,Winter,False
291,2021-01-13 02:00:00,2021,1,13,2,Night,1,2,2,Winter,False
292,2021-01-13 03:00:00,2021,1,13,3,Night,1,2,2,Winter,False
293,2021-01-13 04:00:00,2021,1,13,4,Night,1,2,2,Winter,False
294,2021-01-13 05:00:00,2021,1,13,5,Morning,1,2,2,Winter,False
295,2021-01-13 06:00:00,2021,1,13,6,Morning,1,2,2,Winter,False
296,2021-01-13 07:00:00,2021,1,13,7,Morning,1,2,2,Winter,False
297,2021-01-13 08:00:00,2021,1,13,8,Morning,1,2,2,Winter,False
298,2021-01-13 09:00:00,2021,1,13,9,Morning,1,2,2,Winter,False
299,2021-01-13 10:00:00,2021,1,13,10,Morning,1,2,2,Winter,False
300,2021-01-13 11:00:00,2021,1,13,11,Morning,1,2,2,Winter,False
301,2021-01-13 12:00:00,2021,1,13,12,Afternoon,1,2,2,Winter,False
302,2021-01-13 13:00:00,2021,1,13,13,Afternoon,1,2,2,Winter,False
303,2021-01-13 14:00:00,2021,1,13,14,Afternoon,1,2,2,Winter,False
304,2021-01-13 15:00:00,2021,1,13,15,Afternoon,1,2,2,Winter,False
305,2021-01-13 16:00:00,2021,1,13,16,Afternoon,1,2,2,Winter,False
306,2021-01-13 17:00:00,2021,1,13,17,Afternoon,1,2,2,Winter,False
307,2021-01-13 18:00:00,2021,1,13,18,Evening,1,2,2,Winter,False
308,2021-01-13 19:00:00,2021,1,13,19,Evening,1,2,2,Winter,False
309,2021-01-13 20:00:00,2021,1,13,20,Evening,1,2,2,Winter,False
310,2021-01-13 21:00:00,2021,1,13,21,Night,1,2,2,Winter,False
311,2021-01-13 22:00:00,2021,1,13,22,Night,1,2,2,Winter,False
312,2021-01-13 23:00:00,2021,1,13,23,Night,1,2,2,Winter,False
313,2021-01-14 00:00:00,2021,1,14,0,Night,1,2,3,Winter,False
314,2021-01-14 01:00:00,2021,1,14,1,Night,1,2,3,Winter,False
315,2021-01-14 02:00:00,2021,1,14,2,Night,1,2,3,Winter,False
316,2021-01-14 03:00:00,2021,1,14,3,Night,1,2,3,Winter,False
317,2021-01-14 04:00:00,2021,1,14,4,Night,1,2,3,Winter,False
318,2021-01-14 05:00:00,2021,1,14,5,Morning,1,2,3,Winter,False
319,2021-01-14 06:00:00,2021,1,14,6,Morning,1,2,3,Winter,False
320,2021-01-14 07:00:00,2021,1,14,7,Morning,1,2,3,Winter,False
321,2021-01-14 08:00:00,2021,1,14,8,Morning,1,2,3,Winter,False
322,2021-01-14 09:00:00,2021,1,14,9,Morning,1,2,3,Winter,False
